date,Idx_SnP500,Bonds_US_10Y,Com_Silver,Bonds_CHN_1Y,Bonds_BRZ_10Y,Com_Milk,Idx_SnPVIX,EPU_Mainland China,Com_Coking_Coal,Com_Corn,Com_Cocoa,Com_Cotton,Com_HRC_Steel,Com_Lumber,Com_Nickel,Com_NaturalGas,Com_Oat,Com_Wool,Com_Rice,Com_Sugar,Com_Iron_Ore,EX_USD_CNY,Idx_Shanghai,EPU_Australia,EPU_Brazil,EPU_Canada,EPU_Chile,EPU_France,EPU_Greece,EPU_India,EPU_Ireland,EPU_Italy,EPU_Japan,EPU_Korea,EPU_Pakistan,EPU_Russia,EPU_Spain,EPU_UK,EPU_US,Idx_MOVE,Idx_US_PMI,Idx_US_IPI,Idx_US_IPI_chg,Idx_US_CPI_chg,Idx_US_UnemploymentRate_chg,Com_Gold
2021-02-01,3773.86,1.077,28.97,2.74,7.47,16.12,30.24,237.408613576867,1696.0,549.25,2547.0,80.03,1152.0,870.8,17816.25,2.85,347.5,1291.0,13.34,16.15,154.74,6.4748,3505.28369,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,46.28,58.7,95.5072,-3.3063,0.934,-0.2,1860.16
2021-02-02,3826.31,1.107,26.6117,2.713,7.585,16.12,25.56,237.408613576867,1700.0,543.0,2599.0,80.69,1157.0,857.4,17651.75,2.845,345.5,1282.0,13.36,16.29,148.42,6.4575,3533.68481,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,45.91,58.7,95.5072,-3.3063,0.934,-0.2,1837.35022
2021-02-03,3830.17,1.131,26.8642,2.742,7.32,15.58,22.91,237.408613576867,1700.0,552.0,2527.0,80.99,1148.0,884.0,17599.5,2.789,349.0,1285.0,13.09,16.04,150.81,6.4569,3517.308,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,46.93,58.7,95.5072,-3.3063,0.934,-0.2,1833.76074
2021-02-04,3871.74,1.139,26.2924,2.76,7.41,15.54,21.77,237.408613576867,1700.0,550.0,2532.0,84.28,1151.0,883.6,17601.0,2.935,349.75,1285.0,13.025,16.05,155.33,6.4709,3501.85913,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,47.25,58.7,95.5072,-3.3063,0.934,-0.2,1792.26
2021-02-05,3886.83,1.17,26.8282,2.8,7.665,15.64,20.87,237.408613576867,1700.0,548.5,2587.0,82.74,1157.0,915.6,17986.75,2.863,349.25,1285.0,13.0,16.42,153.9,6.4549,3496.333,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,47.2,58.7,95.5072,-3.3063,0.934,-0.2,1811.6156
2021-02-08,3915.59,1.16,27.2524,2.799,7.5,15.61,21.24,237.408613576867,1700.0,563.75,2577.0,84.28,1160.0,940.0,18121.25,2.882,355.0,1285.0,12.97,16.27,156.1,6.44,3532.44678,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,48.45,58.7,95.5072,-3.3063,0.934,-0.2,1830.16
2021-02-09,3911.23,1.157,27.2,2.809,7.63,15.48,21.63,237.408613576867,1700.0,556.25,2581.0,86.93,1172.0,947.0,18323.5,2.835,354.0,1274.0,12.915,16.44,158.15,6.4177,3603.489,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,46.75,58.7,95.5072,-3.3063,0.934,-0.2,1837.06
2021-02-10,3909.88,1.133,26.993,2.768,7.775,15.49,21.99,237.408613576867,1700.0,534.5,2677.0,84.67,1173.0,950.8,18620.6,2.911,348.25,1273.0,12.88,16.71,159.74,6.4274,3655.088,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,46.27,58.7,95.5072,-3.3063,0.934,-0.2,1842.21606
2021-02-11,3916.38,1.158,26.9472,2.768,7.62,15.66,21.25,237.408613576867,1700.0,541.0,2449.0,86.41,1175.0,979.0,18574.75,2.868,350.5,1273.0,12.89,16.55,160.08,6.4225,3655.088,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,45.95,58.7,95.5072,-3.3063,0.934,-0.2,1825.36
2021-02-12,3934.83,1.2,27.35,2.768,7.71,15.63,19.97,237.408613576867,1700.0,538.75,2503.0,87.27,1170.0,982.1,18525.25,2.912,350.75,1273.0,12.81,16.38,159.65,6.4194,3655.088,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,47.01,58.7,95.5072,-3.3063,0.934,-0.2,1823.46
2021-02-15,3934.83,1.2,27.59,2.768,7.71,15.63,19.97,237.408613576867,1700.0,544.0,2503.0,87.27,1170.0,982.1,18579.0,3.064,349.5,1273.0,12.81,16.38,159.65,6.4044,3655.088,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,47.01,58.7,95.5072,-3.3063,0.934,-0.2,1818.513
